id,product_id,quantity_sold,date,total,user_id
1,66,124,2/9/2025,440.21,9
2,23,241,7/26/2025,631.8,10
3,78,219,8/24/2025,110.92,8
4,39,295,9/13/2025,853.49,6
5,32,392,10/6/2025,900.31,1
6,71,300,6/4/2025,349.74,1
7,60,137,2/12/2025,546.83,9
8,89,360,7/29/2025,812.25,10
9,39,451,2/4/2025,734.49,7
10,85,246,2/5/2025,86.79,1
11,68,467,2/2/2025,421.67,10
12,11,159,5/7/2025,318.48,9
13,57,484,7/5/2025,574.79,10
14,73,30,3/8/2025,583.67,4
15,84,496,12/23/2024,923.86,8
16,86,317,10/15/2025,914.74,2
17,86,64,3/11/2025,791.73,7
18,48,276,7/5/2025,278.69,3
19,63,341,1/23/2025,831.41,4
20,36,226,12/12/2024,890.59,1
21,95,190,10/29/2025,49.05,2
22,19,130,4/21/2025,217.01,2
23,55,219,5/28/2025,327.67,9
24,6,89,5/29/2025,944.99,2
25,33,329,10/4/2025,763.23,5
26,49,307,4/20/2025,583.98,8
27,51,308,11/8/2025,304.03,7
28,64,488,5/13/2025,808.33,2
29,32,206,5/28/2025,965.36,2
30,89,77,6/21/2025,50.01,2
